id,piece_by_piece
1,Qh4 → -0.435; Qc2 → +0.397; Ra1 → +0.261; Re1 → +0.243; Rb7 → -0.224; Rf8 → -0.208; Bg2 → +0.208; Bc8 → -0.128
2,Qc2 → +0.420; Qh5 → -0.359; Re3 → +0.272; Ra1 → +0.243; Rf8 → -0.231; Rb7 → -0.203; Bg2 → +0.179; Bf4 → +0.161
3,Qg5 → +0.451; Rh3 → +0.316; Qe7 → -0.304; Be5 → +0.204; Rf8 → -0.200; Ra1 → +0.191; Rb7 → -0.158; Bg2 → +0.157
4,Qd2 → +0.452; Qb5 → -0.369; Rd1 → +0.284; Rc8 → -0.212; Rc7 → -0.205; Bb3 → +0.194; Bg7 → -0.170; Bd4 → +0.159
5,Qd2 → +0.458; Qb5 → -0.361; Rd1 → +0.311; Rc8 → -0.201; Rf7 → -0.198; Bb3 → +0.193; Be3 → +0.150; Bg7 → -0.132
6,Qd2 → +0.458; Qb5 → -0.373; Rd1 → +0.323; Rf6 → -0.215; Rc8 → -0.197; Bb3 → +0.179; Bg5 → +0.177; Bg7 → -0.118
7,Qd2 → +0.460; Qb7 → -0.346; Rd1 → +0.303; Rc8 → -0.200; Bb3 → +0.176; Bg7 → -0.172; Bf6 → +0.081; c2 → +0.066
8,Rb2 → -0.334; Rc7 → +0.317; Ra8 → -0.311; Rf1 → +0.298; Bd3 → -0.198; Bf3 → +0.179; a3 → +0.113; e5 → -0.062
9,Ra3 → +0.347; Rc1 → +0.337; Rd8 → -0.303; Rf8 → -0.303; Ba4 → +0.207; Nd7 → -0.178; b4 → +0.121; a6 → -0.076
10,Rc8 → -0.411; Rb7 → +0.370; c7 → +0.222; Bb3 → +0.203; Nf8 → -0.145; a5 → -0.139; a4 → +0.127; f5 → -0.069
11,Rc8 → -0.408; Rb7 → +0.373; c7 → +0.206; Bb3 → +0.202; Nf8 → -0.144; a5 → -0.142; a4 → +0.137; f5 → -0.073
12,Rc8 → -0.409; Rb7 → +0.368; c7 → +0.218; Bb3 → +0.203; Nf8 → -0.153; a5 → -0.150; a4 → +0.132; g2 → +0.056
13,Qc2 → +0.415; Qb5 → -0.396; Ra7 → +0.303; Rf1 → +0.249; Rh8 → -0.222; Rf3 → -0.187; Bb7 → -0.162; g2 → +0.118
14,Qh5 → +0.445; Qf8 → -0.311; Rf6 → +0.267; Ra1 → +0.237; Ra8 → -0.188; Re7 → -0.184; Bd3 → +0.174; Nh7 → -0.128
15,Qh5 → +0.413; Qf8 → -0.372; Rf4 → +0.241; Ra1 → +0.239; Ra8 → -0.236; Ng4 → +0.194; Re7 → -0.181; Bd3 → +0.181
16,Qh5 → +0.392; Qf8 → -0.361; Rf4 → +0.277; Ra8 → -0.224; Rc7 → -0.212; Ra1 → +0.210; Bd3 → +0.095; f7 → +0.084
17,Bg7 → -0.227; Be6 → +0.226; Bf8 → +0.225; Be2 → -0.212; a2 → +0.147; f4 → +0.137; g4 → +0.133; h7 → -0.125
18,g5 → -0.274; Be2 → +0.221; Bc6 → -0.203; g4 → +0.180; a3 → +0.106; f5 → +0.099; a5 → -0.073
19,Be2 → +0.268; g5 → -0.231; g4 → +0.193; Bc6 → -0.178; a3 → +0.159; f5 → +0.114; a4 → -0.037
20,Qb5 → +0.396; Qc7 → -0.336; Ra1 → +0.238; Rf1 → +0.217; Ra4 → -0.209; Re7 → -0.202; Nb6 → -0.180; Nd7 → -0.152
21,Re7 → -0.382; Ra1 → +0.326; Nc3 → -0.214; c6 → +0.199; Nc4 → +0.181; Na4 → -0.180; b3 → -0.165; Be3 → +0.161
22,Qd3 → +0.424; Qc7 → -0.388; Rf6 → -0.244; Rd1 → +0.221; Ra8 → -0.217; Rh1 → +0.186; Be8 → -0.159; Bc5 → +0.127
23,Qc7 → -0.352; Qa8 → +0.335; Rc1 → +0.296; Bc6 → -0.274; Rf6 → -0.248; Rh1 → +0.215; Bg7 → -0.134; Be2 → +0.127
24,Rc7 → +0.423; Ba8 → -0.241; Bf8 → -0.204; Nf7 → -0.190; Nd2 → +0.176; a4 → +0.149; f4 → -0.138; g2 → +0.098
25,Ra6 → +0.437; b6 → +0.240; Nc4 → +0.192; Bc5 → -0.175; f4 → -0.161; Ng5 → -0.115; h7 → -0.102; b2 → +0.099
