id,beginner_groundedness,beginner_clarity,beginner_faithfulness,intermediate_groundedness,intermediate_clarity,intermediate_faithfulness,advanced_groundedness,advanced_clarity,advanced_faithfulness,coherence
1,5,5,5,5,5,5,5,4,5,5
2,5,5,5,5,5,5,5,5,5,5
3,5,5,5,5,5,5,5,5,5,5
4,4,5,5,5,5,5,5,4,5,5
5,5,5,5,5,5,5,5,5,5,5
6,5,5,5,5,5,5,5,5,5,5
7,5,5,5,5,5,5,5,5,5,5
8,5,5,5,5,5,5,5,5,5,5
9,5,5,5,5,5,5,5,5,5,5
10,5,5,5,5,5,5,5,5,5,5
11,5,5,5,5,5,5,5,5,5,5
12,5,5,4,5,5,5,5,5,5,5
13,5,5,5,5,4,5,4,4,5,5
14,5,5,5,5,5,5,5,5,5,5
15,5,5,5,5,5,5,5,5,5,5
16,5,5,5,5,5,5,5,4,5,5
17,5,5,5,5,5,5,5,5,5,5
18,5,5,4,5,5,5,5,5,5,5
19,5,5,5,5,5,5,5,5,5,5
20,5,5,5,5,5,5,5,5,5,5
21,5,5,5,5,4,5,5,5,5,5
22,5,5,4,5,5,5,5,5,5,5
23,5,5,5,5,4,5,5,4,5,5
24,5,5,5,5,5,5,5,4,5,5
25,5,5,5,5,5,5,5,5,5,5
