"id","white","black","event","date","side_to_move","critical_move","fen","eval_before_cp","eval_verbal","eval_after_cp","eval_change_cp","piece_by_piece","beginner_u1400","intermediate_1400_2200","advanced_2200plus"
"1","Robert James Fischer","James T Sherwin","New Jersey Open","1957.09.02","Black","Kxg7","2b2rk1/pr3pPn/1p2p3/8/2pP1B1q/2P5/PPQ2PB1/R3R1K1 b - - 0 23","129","clear advantage for White","303","174","g7 → +0.50; Nh7 → +0.40; Kg8 → -0.30; Kg1 → +0.30; d4 → +0.20; Bc8 → +0.10; f7 → -0.10; Bf4 → +0.10","White is clearly better here. The material is almost equal, but White has a very dangerous pawn on g7 that is just one step away from becoming a queen, and Black's pieces are tied up dealing with it. White should keep the pressure on and protect that advanced pawn.","White holds a clear advantage (about +1.3). Material is nearly level, but the far-advanced g7-pawn is a huge trump that cramps Black and threatens to promote, while Black's knight on h7 is badly offside. White's plan is to bring more force to the kingside and keep g7 as a permanent thorn; Black must stay busy defending rather than counterattacking.","White is clearly better (~+1.3), the g7-pawn functioning as a long-term structural asset that ties Black to passive defence and distorts effective piece activity. Black's h7-knight is entombed and the king lacks a clean shelter, so the near-parity in material is illusory. White should improve the attackers around the enemy king rather than rush the promotion, keeping g7 as a standing threat."
"2","Robert James Fischer","James T Sherwin","New Jersey Open","1957.09.02","Black","f5","2b2r2/pr3pkn/1p2p3/7q/2pP1B2/2P1R3/PPQ2PB1/R5K1 b - - 3 25","290","large advantage for White","509","219","Nh7 → +0.40; Kg1 → +0.30; Kg7 → -0.20; d4 → +0.20; Bc8 → +0.10; f7 → -0.10; Bf4 → +0.10; c4 → -0.10","White has a large advantage even though both sides have the same amount of material. Black's pieces are badly placed — the knight in the corner does nothing — and the black king is not very safe. White should keep attacking and bring more pieces toward the black king.","White is clearly winning territory here (about +2.9) despite equal material: Black's knight on h7 is a dead piece and the king on g7 is exposed, so White's forces are far more active. The plan is to open lines and build up against the loosely-defended king. Black has little counterplay and must try to trade attackers or free the knight.","White enjoys a large advantage (~+2.9) rooted in an activity imbalance rather than material: the h7-knight is out of play and the king lacks cover, so White is effectively a piece up in the decisive sector. White should keep pieces on and intensify the pressure on the king, avoiding simplifications that relieve Black. Reactivating the knight or exchanging White's key attacker in time is very hard for Black."
"3","Robert James Fischer","James T Sherwin","New Jersey Open","1957.09.02","White","Bxf6","2b2r2/pr2qk2/1p2pn2/4BpQ1/2pP4/2P4R/PP3PB1/R5K1 w - - 8 30","707","White is winning","584","-123","Kg1 → +0.30; d4 → +0.20; Bc8 → +0.10; Nf6 → -0.10; Be5 → +0.10; c4 → -0.10; c3 → -0.10; f2 → +0.10","White is completely winning here. The material is equal, but White's pieces are far more powerful and better placed, dominating the board while Black's just sit there. White should keep playing carefully and turn this into a win.","White is winning (about +7): material is level, but White's pieces — above all the strong bishop on e5 — completely dominate while Black is passive and tied up. White should bring the last pieces into play and increase the pressure; concrete threats flow naturally from the superior activity. Black has no counterplay.","White is winning (~+7) on overwhelming activity and coordination: the centralised e5-bishop and harmonised major pieces leave Black's forces passive, a decisive dynamic edge with material level. Conversion is technical — keep the initiative, preserve the dominant pieces, and open a second front. Black is strategically lost."
"4","Robert James Fischer","Bent Larsen","Portoroz Interzonal","1958.08.16","Black","e5","2r3k1/2r1ppb1/3p2P1/pq5p/1p1BP3/1B3P2/PPPQ4/1K1R4 b - - 0 23","144","clear advantage for White","280","136","Kg8 → -0.30; Kb1 → +0.30; e7 → +0.20; e4 → +0.20; f7 → -0.10; g6 → +0.10; Bd4 → +0.10; f3 → -0.10","This is a sharp fight. Black actually has a bit more material, but White is better because White has dangerous advanced pawns — one all the way on e7 — and a strong attack. White's plan is to push those pawns and go after the black king. Black will probably have to give some material back.","White is clearly better (about +1.4) even though Black is up two points of material: full compensation comes from the far-advanced e7- and g6-pawns plus the initiative, with White's king safe on b1. White should keep the attack rolling and use the advanced pawns as threats. Black must return material to blunt the attack and reach a defensible ending.","Despite a two-point deficit, White is clearly better (~+1.4): the e7- and g6-passers, the initiative, and a secure king on b1 more than offset the investment. This is a dynamics-for-material trade where tempo is everything — White must keep generating concrete threats before Black consolidates and the extra material tells. Black's best defensive resource is a timely return of material to reach an endgame where the piece matters."
"5","Robert James Fischer","Bent Larsen","Portoroz Interzonal","1958.08.16","Black","Rf6","2r2k2/5rb1/3P4/pq2p2p/1p6/1B2BP2/PPPQ4/1K1R4 b - - 0 27","485","White is winning","614","129","d6 → +0.30; Kb1 → +0.30; e5 → -0.20; Kf8 → -0.10; f3 → -0.10; Be3 → +0.10; Bb3 → +0.10; c2 → +0.10","White is winning here. Black has a tiny material edge, but White has a strong pawn on d6 that Black can't easily stop, plus a powerful attack. White should keep pushing forward and threatening the black king.","White is winning (about +4.9) despite being nominally a pawn down: the protected d6-passer and the attack on the black king are decisive, and White's king is safely on b1. White should keep piling on pressure and advance the passed pawn at the right moment. Black has no adequate defence.","White is winning (~+4.9): the d6 passed pawn and a sustained initiative against the king vastly outweigh Black's token extra pawn. With the king safe on b1 there is no counter-attacking risk; White converts by tying Black down with the passer and opening the king. Black's material is meaningless with the pieces this passive."
"6","Robert James Fischer","Bent Larsen","Portoroz Interzonal","1958.08.16","Black","Qb7","2r2k2/6b1/3P1r2/pq2p1Bp/1p6/1B3P2/PPPQ4/1K1R4 b - - 2 28","634","White is winning","964","330","d6 → +0.30; Kb1 → +0.30; e5 → -0.20; Kf8 → -0.10; f3 → -0.10; Bb3 → +0.10; c2 → +0.10; b2 → +0.10","White is clearly winning. Even though Black has a little more material, White's far-advanced pawn on d6 and strong attack matter much more. White should keep attacking and push the pawn forward.","White is winning (about +6.3): the d6-passer and the attack dominate, and Black's slight material edge is irrelevant. White should keep improving the attacking pieces and advance the passed pawn at the right moment. Black is essentially defenceless.","White is winning (~+6.3): the d6 passer and a decisive initiative render Black's nominal material parity meaningless. With the king safe on b1, White combines the passer's threats with pressure on the enemy king to convert. Black has only the choice of how to lose."
"7","Robert James Fischer","Bent Larsen","Portoroz Interzonal","1958.08.16","Black","Bxf6","2r2k2/1q4b1/3P1B2/p3p2p/1p6/1B3P2/PPPQ4/1K1R4 b - - 0 29","1052","White is winning","99989","98937","d6 → +0.30; Kb1 → +0.30; e5 → -0.20; Kf8 → -0.10; f3 → -0.10; Bb3 → +0.10; c2 → +0.10; b2 → +0.10","White is totally winning — ahead by a whole piece with a crushing attack, and the position is essentially decided. Black's king is caught with no defence. White just needs to finish the attack cleanly.","White is completely winning (about +10.5): a clear extra piece plus a decisive attack around Black's king, with the d6-passer as a bonus. The position is essentially over and White converts by pressing the attack home. Black has nothing.","White is winning by force (~+10.5): up a piece with a mating attack and a d6 passer, this is effectively resignable — deep analysis already shows a forced mate. Practically, White only needs to keep the attack precise. There is no defensive resource for Black."
"8","Herman Pilnik","Robert James Fischer","Mar del Plata","1959.04.03","White","d6","r5k1/2R2p1p/6p1/3Pp3/6P1/P2b1B2/1r5P/5R1K w - - 3 34","-111","clear advantage for Black","-234","-123","Kh1 → -0.50; Kg8 → +0.30; d5 → +0.25; e5 → -0.20; f7 → -0.10; Rc7 → +0.10; Bf3 → +0.10; Bd3 → -0.10","Black is clearly better in this endgame. Black's rook and bishop are very active and well-coordinated, while White's king is stuck uselessly in the corner. Black should keep the pieces active and press; White's one hope is the pawn on d5 that could run toward promotion.","Black holds a clear advantage (about -1.1) in the endgame: the rook on the second rank (b2) and the bishop on d3 are excellent, and White's king is boxed in on h1. White's d5-passer gives some counterplay but isn't enough. Black should keep the pieces active, target White's weaknesses, and keep the d-pawn under control.","Black is clearly better (~-1.1): superior activity — a rook on the second rank and a strong d3-bishop — dominates while White's king is a passive spectator on h1. White's d5 passer is the only counterplay and must be blockaded or eliminated. Black converts by maximising activity and improving the king while restraining the passer."
"9","Robert James Fischer","Hector Decio Rossetto","Mar del Plata","1959.04.05","Black","Nb8","3r1rk1/3n3p/pp1p2p1/3Ppp2/BPP5/R4P2/P5PP/2R3K1 b - - 1 24","21","roughly equal","139","118","Kg8 → +0.30; Kg1 → -0.30; d5 → +0.25; e5 → -0.20; Ba4 → -0.10; f3 → -0.10; g2 → +0.10; Rd8 → -0.05","The position is roughly equal. White has a pawn on d5 that could push toward becoming a queen, but Black's pieces are active enough to balance it. Both sides have chances, so careful play is needed.","The position is about level (roughly +0.2): White's d5-passer is a long-term asset, but Black's active pieces provide enough counterplay to hold the balance. Both sides should improve their pieces — White to make the passer count, Black to blockade it. Objectively it's equal.","The evaluation is essentially balanced (~+0.2): White's d5 passed pawn is offset by Black's active piece play, so neither side has more than a nominal pull. The strategic battle is over the passer — advance and support versus blockade and counterplay. Small inaccuracies will decide, but the position is equal."
"10","Robert James Fischer","Hector Decio Rossetto","Mar del Plata","1959.04.05","White","h3","2r2n2/1RP3k1/6pp/p3pp2/P7/1B3P2/6PP/6K1 w - - 0 35","433","White is winning","330","-103","c7 → +0.50; Nf8 → +0.30; Kg7 → +0.30; Kg1 → -0.30; e5 → -0.20; Rb7 → +0.10; f3 → -0.10; Bb3 → +0.10","White is winning this endgame. White has a pawn on c7 that is one step from becoming a queen, backed up by a rook, and Black's pieces are tied down stopping it. White should keep pressing and the pawn will eventually decide.","White is winning (about +4.3): the far-advanced c7-pawn, supported by the rook on b7, ties Black's rook and knight to passive defence. White should improve the king and pick the moment to break through with the passer. Black has no active plan.","White is winning (~+4.3): the c7 passer supported by the b7-rook freezes Black's rook and knight in blockading roles. White converts by activating the king and creating a second threat to overload the defence. Black's pieces have no productive squares."
